gameId;gameName;status;gameSize;gameLength;lastTick;weatherLocation;weatherDate;logUrl;AgentUDE;Bunnie;COLDPower18;CrocodileAgent;EWIIS3;SPOT;VidyutVanika
1273;PowerTAC_2018_Finals_101;game_complete;4;1348;1346;cheyenne;30.10.13;http://ts.powertac.org/log/PowerTAC_2018_Finals_101.tar.gz;;-401605.5324;3654.988596;1071920.56;-1557554.275;;
1274;PowerTAC_2018_Finals_102;game_complete;4;1510;1508;cheyenne;07.04.13;http://ts.powertac.org/log/PowerTAC_2018_Finals_102.tar.gz;-25425.6744;1525052.581;137186.5924;;-498499.4966;;
1275;PowerTAC_2018_Finals_103;game_complete;4;1556;1555;cheyenne;10.05.13;http://ts.powertac.org/log/PowerTAC_2018_Finals_103.tar.gz;711293.1266;1886168.26;;862437.2995;-1234480.247;;
1276;PowerTAC_2018_Finals_104;game_complete;4;1433;1431;cheyenne;13.05.14;http://ts.powertac.org/log/PowerTAC_2018_Finals_104.tar.gz;2279653.474;;219194.4467;577005.2255;-3777847.167;;
1277;PowerTAC_2018_Finals_105;game_complete;4;1432;1430;cheyenne;12.04.13;http://ts.powertac.org/log/PowerTAC_2018_Finals_105.tar.gz;256446.1062;2226916.012;90825.11139;1104026.602;;;
1278;PowerTAC_2018_Finals_106;game_complete;4;1474;1472;cheyenne;12.12.14;http://ts.powertac.org/log/PowerTAC_2018_Finals_106.tar.gz;;752559.3501;71985.12692;;-1396879.692;;2028028.818
1279;PowerTAC_2018_Finals_107;game_complete;4;1733;1732;cheyenne;13.04.14;http://ts.powertac.org/log/PowerTAC_2018_Finals_107.tar.gz;;1950169.052;;491061.8988;-349835.3336;;2658559.779
1280;PowerTAC_2018_Finals_108;game_complete;4;1376;1374;cheyenne;17.11.13;http://ts.powertac.org/log/PowerTAC_2018_Finals_108.tar.gz;;;-37225.09149;-212255.5269;-4603309.364;;472411.2707
1281;PowerTAC_2018_Finals_109;game_complete;4;1348;1346;cheyenne;02.08.13;http://ts.powertac.org/log/PowerTAC_2018_Finals_109.tar.gz;;-976609.4497;179992.0418;597941.783;;;388363.0327
1282;PowerTAC_2018_Finals_110;game_complete;4;1323;1322;cheyenne;04.03.14;http://ts.powertac.org/log/PowerTAC_2018_Finals_110.tar.gz;634982.6592;196423.6923;;;-1571062.725;;1848322.819
